fid,aspect,nagib
1,168.01116943359375,246.0
2,,250.0
3,336.31689453125,239.0
4,,250.0
5,,250.0
6,,250.0
7,,250.0
8,121.80370330810547,249.0
9,,250.0
11,,250.0
12,,250.0
14,,250.0
15,,250.0
16,,250.0
17,184.44529724121094,249.0
18,,250.0
19,,250.0
20,49.698570251464844,245.0
21,,250.0
22,,250.0
23,,250.0
25,,250.0
26,304.4381103515625,249.0
27,24.010848999023438,249.0
28,,250.0
29,,250.0
30,32.15306091308594,249.0
31,,250.0
32,,250.0
33,,250.0
34,,250.0
35,205.63201904296875,248.0
36,16.756187438964844,249.0
37,319.92388916015625,249.0
38,,250.0
39,,250.0
40,,250.0
41,,250.0
42,,250.0
43,,250.0
44,,250.0
45,325.3343200683594,249.0
48,,250.0
49,,250.0
50,187.43328857421875,249.0
51,,250.0
52,,250.0
53,,250.0
54,88.06059265136719,248.0
55,92.55290985107422,249.0
56,,250.0
57,,250.0
58,,250.0
59,104.24029541015625,247.0
60,,250.0
62,,250.0
63,,250.0
64,,250.0
65,,250.0
66,,250.0
67,,250.0
68,335.287353515625,247.0
69,,250.0
70,193.14105224609375,249.0
71,,250.0
72,,250.0
73,35.25453567504883,249.0
78,,250.0
80,,250.0
85,332.20611572265625,249.0
90,,250.0
91,,250.0
92,,250.0
93,,250.0
95,,250.0
103,53.671714782714844,249.0
105,,250.0
106,,250.0
110,2.6511306762695312,247.0
113,,250.0
114,,250.0
115,42.28565216064453,249.0
116,50.74340057373047,249.0
117,,250.0
118,,250.0
119,,250.0
123,,250.0
124,,250.0
126,,250.0
132,,250.0
133,,250.0
134,,250.0
135,,250.0
136,,250.0
137,,250.0
138,,250.0
139,,250.0
140,,250.0
141,,250.0
142,,250.0
143,,250.0
144,,250.0
145,,250.0
146,,250.0
147,,250.0
148,,250.0
149,,250.0
150,,250.0
151,,250.0
152,,250.0
153,,250.0
154,,250.0
155,,250.0
156,,250.0
157,,250.0
158,,250.0
159,,250.0
160,328.3957824707031,248.0
161,349.38177490234375,249.0
162,,250.0
164,,250.0
165,,250.0
166,,250.0
175,,250.0
180,,250.0
190,,250.0
193,,250.0
200,,250.0
211,,250.0
217,116.58079528808594,249.0
227,,250.0
243,,250.0
245,,250.0
247,,250.0
249,,250.0
266,,250.0
270,,250.0
271,,250.0
272,,250.0
273,,250.0
277,,250.0
278,,250.0
279,,250.0
283,129.4501953125,249.0
312,,250.0
313,,250.0
314,,250.0
315,,250.0
316,,250.0
323,10.152626037597656,249.0
325,,250.0
377,,250.0
378,129.15615844726562,249.0
379,,250.0
380,,250.0
388,214.91937255859375,249.0
393,,250.0
394,,250.0
395,,250.0
459,,250.0
461,,250.0
463,,250.0
467,,250.0
472,,250.0
473,,250.0
474,,250.0
475,,250.0
476,,250.0
477,309.6524658203125,249.0
478,,250.0
479,350.8656005859375,246.0
481,,250.0
482,47.42866134643555,249.0
484,,250.0
486,83.43868255615234,249.0
490,14.621253967285156,249.0
492,31.672866821289062,245.0
493,,250.0
494,,250.0
495,,250.0
496,,250.0
497,29.217662811279297,243.0
500,9.01959228515625,247.0
513,,250.0
514,67.12599182128906,246.0
515,,250.0
516,,250.0
517,,250.0
520,352.93572998046875,248.0
521,,250.0
522,,250.0
523,114.87301635742188,249.0
524,,250.0
525,,250.0
526,,250.0
527,,250.0
528,,250.0
529,,250.0
530,,250.0
531,,250.0
532,,250.0
533,353.1263427734375,248.0
534,,250.0
535,,250.0
536,,250.0
537,,250.0
538,,250.0
539,279.9252014160156,247.0
540,,250.0
541,81.04389953613281,249.0
542,64.81690979003906,249.0
543,,250.0
544,,250.0
545,,250.0
546,,250.0
547,145.6742401123047,249.0
548,,250.0
549,,250.0
550,,250.0
551,,250.0
552,3.6901779174804688,246.0
553,15.26776123046875,247.0
554,,250.0
555,,250.0
556,69.56207275390625,249.0
557,34.66417694091797,247.0
558,,250.0
559,,250.0
560,,250.0
561,,250.0
562,,250.0
563,59.50356674194336,249.0
566,,250.0
567,,250.0
568,,250.0
569,,250.0
570,,250.0
571,,250.0
572,,250.0
573,,250.0
574,,250.0
575,,250.0
576,,250.0
577,,250.0
578,,250.0
579,,250.0
580,,250.0
581,230.3849334716797,248.0
582,,250.0
583,,250.0
584,,250.0
585,,250.0
586,83.19794464111328,248.0
587,,250.0
588,,250.0
589,,250.0
590,85.33203125,248.0
591,328.7220764160156,247.0
592,,250.0
593,,250.0
594,,250.0
595,,250.0
596,195.78733825683594,248.0
608,,250.0
633,,250.0
636,220.33863830566406,249.0
649,,250.0
650,,250.0
652,331.33197021484375,248.0
654,51.139015197753906,249.0
655,,250.0
656,,250.0
657,,250.0
659,,250.0
