fid,aspect,nagib
63,,250.0
64,,250.0
65,,250.0
66,,250.0
67,,250.0
68,335.287353515625,247.0
70,193.14105224609375,249.0
72,,250.0
73,35.25453567504883,249.0
78,,250.0
85,332.20611572265625,249.0
91,,250.0
93,,250.0
95,,250.0
114,,250.0
115,42.28565216064453,249.0
117,,250.0
118,,250.0
119,,250.0
123,,250.0
124,,250.0
133,,250.0
134,,250.0
135,,250.0
136,,250.0
137,,250.0
138,,250.0
139,,250.0
141,,250.0
142,,250.0
143,,250.0
144,,250.0
145,,250.0
146,,250.0
147,,250.0
148,,250.0
149,,250.0
150,,250.0
151,,250.0
152,,250.0
153,,250.0
154,,250.0
155,,250.0
156,,250.0
157,,250.0
158,,250.0
159,,250.0
160,328.3957824707031,248.0
161,349.38177490234375,249.0
162,,250.0
164,,250.0
165,,250.0
166,,250.0
175,,250.0
190,,250.0
193,,250.0
200,,250.0
217,116.58079528808594,249.0
243,,250.0
245,,250.0
249,,250.0
266,,250.0
270,,250.0
271,,250.0
272,,250.0
273,,250.0
277,,250.0
278,,250.0
316,,250.0
323,10.152626037597656,249.0
325,,250.0
377,,250.0
378,129.15615844726562,249.0
379,,250.0
380,,250.0
388,214.91937255859375,249.0
393,,250.0
394,,250.0
395,,250.0
459,,250.0
461,,250.0
463,,250.0
467,,250.0
482,47.42866134643555,249.0
484,,250.0
486,83.43868255615234,249.0
493,,250.0
494,,250.0
495,,250.0
497,29.217662811279297,243.0
500,9.01959228515625,247.0
554,,250.0
555,,250.0
558,,250.0
559,,250.0
560,,250.0
561,,250.0
563,59.50356674194336,249.0
566,,250.0
567,,250.0
568,,250.0
569,,250.0
570,,250.0
571,,250.0
572,,250.0
573,,250.0
574,,250.0
575,,250.0
576,,250.0
577,,250.0
578,,250.0
579,,250.0
580,,250.0
581,230.3849334716797,248.0
582,,250.0
583,,250.0
584,,250.0
585,,250.0
586,83.19794464111328,248.0
587,,250.0
588,,250.0
589,,250.0
590,85.33203125,248.0
591,328.7220764160156,247.0
593,,250.0
594,,250.0
595,,250.0
596,195.78733825683594,248.0
608,,250.0
633,,250.0
636,220.33863830566406,249.0
649,,250.0
650,,250.0
652,331.33197021484375,248.0
654,51.139015197753906,249.0
655,,250.0
659,,250.0
