fid,gustoca_km_km2
63,0.440093
64,0.04059
65,0.0
66,0.380994
67,0.321395
68,0.402334
70,0.363595
72,0.152417
73,0.916627
78,1.001841
85,0.211213
91,0.383412
93,0.138263
95,0.222759
114,0.172137
115,0.710054
117,0.552449
118,0.651631
119,0.489551
123,0.0
124,0.0
133,0.611451
134,0.480307
135,0.0
136,0.439141
137,0.270435
138,0.339009
139,0.404892
141,0.558983
142,0.792334
143,0.399899
144,0.734967
145,0.0
146,0.591672
147,0.614003
148,0.075751
149,0.112704
150,0.724922
151,0.735314
152,0.442617
153,0.443437
154,0.397356
155,0.396985
156,0.60985
157,0.6505
158,0.337593
159,0.198907
160,0.38164
161,0.370073
162,0.397992
164,0.415316
165,0.949387
166,0.671008
175,0.217913
190,0.420837
193,0.518329
200,0.324338
217,0.369907
243,0.37425
245,0.294279
249,0.523669
266,0.69849
270,0.0
271,0.771711
272,0.347781
273,0.014228
277,0.495574
278,0.263287
316,0.556879
323,0.0
325,0.001522
377,0.667538
378,0.68422
379,0.547073
380,0.334121
388,0.409828
393,0.50964
394,0.629074
395,0.559052
459,0.581533
461,0.128501
463,0.751406
467,0.736848
482,0.281063
484,0.455225
486,0.340953
493,0.464332
494,0.468639
495,0.454861
497,0.386329
500,0.672688
554,0.0
555,0.0
558,0.314125
559,0.6394
560,0.586621
561,0.781706
563,0.335249
566,0.369045
567,0.360039
568,0.466974
569,0.406922
570,0.190942
571,0.396271
572,0.593242
573,0.24593
574,0.755279
575,0.332862
576,0.51686
577,0.314861
578,0.0
579,0.705885
580,0.36914
581,0.403664
582,0.502972
583,0.151872
584,0.731894
585,0.602117
586,0.302902
587,0.53016
588,0.0
589,0.674244
590,0.0
591,0.232977
593,0.911699
594,0.562205
595,0.376673
596,0.0
608,0.642798
633,0.613814
636,0.0
649,0.650261
650,0.011599
652,0.202753
654,0.354629
655,0.348154
659,0.121842
